Acreedor|Nº ident.fis.1
4001402|P0404900C
4001403|P0405000A
4001404|P0405200G
4001405|P0405300E
4001406|P0405700F
4001407|P0406000J
4001408|P0406200F
4001409|P0406400B
4001410|P0406500I
4001411|P0406600G
4001412|P0406700E
4001413|P0406900A
4001414|P0407100G
4001415|P0407300C
4001416|P0407400A
4001417|P0407500H
4001418|P0407800B
4001419|P0407900J
4001420|P0408800A
4001421|P0409300A
4001422|P0409600D
4001423|P0409800J
4001424|P0410000D
4001425|P0410100B
4001426|P0410200J
4001427|P0410300H
4001428|P0410400F
4001429|P0410500C
4001430|P0500200A
4001431|P0501300H
4001432|P0501400F
4001433|P0501600A
4001434|P0501900E
4001435|P0502200I
4001436|P0504100I
4001437|P0504700F
4001438|P0505400B
4001439|P0505700E
4001440|P0506100G
4001441|P0506500H
4001442|P0507400J
4001443|P0507600E
4001444|P0508700B
4001445|P0508900H
4001446|P0509300J
4001447|P0509500E
4001448|P0509700A
4001449|P0509900G
4001450|P0510200I
4001451|P0511000B
4001452|P0511500A
4001453|P0513500I
4001454|P0514300C
4001455|P0515200D
4001456|P0515600E
4001457|P0516100E
4001458|P0516300A
4001459|P0516800J
4001460|P0516900H
4001461|P0517600C
4001462|P0517800I
4001463|P0518300I
4001464|P0518400G
4001465|P0518500D
4001466|P0518600B
4001467|P0518700J
4001468|P3602400H
4001469|P0519700I
4001470|P3602600C
4001471|P3602900G
4001472|P0520400C
4001473|P3603200A
4001474|P0520700F
4001475|P3603300I
4001476|P3603500D
4001477|P0522000I
4001478|P3603700J
4001479|P3604200J
4001480|P0522700D
4001481|P3604300H
4001482|P3604600A
4001483|P0523800A
4001484|P3604900E
4001485|P0524000G
4001486|P3605000C
4001487|P3605200I
4001488|P0524100E
4001489|P3605400E
4001490|P3605700H
4001491|P0524200C
4001492|P3605800F
4001493|P0526900F
4001494|P3606000B
4001495|P3702400G
4001496|P0600039B
4001497|P3702900F
4001498|P3704400E
4001499|P0600500C
4001500|P3704500B
4001501|P0601100A
4001502|P3704600J
4001503|P3706000A
4001504|P0601200I
4001505|P3706900B
4001506|P3708500H
4001507|P0601400E
4001508|P3708700D
4001509|P0602200H
4001510|P3727600C
4001511|P3729600A
4001512|P0604400B
4001513|P3730700F
4001514|P3731400B
4001515|P0604600G
4001516|P3732500H
4001517|P0605400A
4001518|P3732700D
4001519|P3735700A
4001520|P0607400I
4001521|P3736500D
4001522|P3800400H
4001523|P0608800I
4001524|P3801800H
4001525|P0609200A
4001526|P3803300G
4001527|P3805100I
4001528|P0610800E
4001529|P3900200A
4001530|P0611800D
4001531|P3900800H
4001532|P3900900F
4001533|P0612600G
4001534|P3901900E
4001535|P0614900I
4001536|P3902200I
4001537|P3902300G
4001538|P0615300A
4001539|P3902600J
4001540|P3903500A
4001541|P0615800J
4001542|P3904200G
4001543|P0616900G
4001544|P3904400C
4001545|P3905600G
4001546|P0700100A
4001547|P3905700E
4001548|P3906900J
4001549|P0702800D
4001550|P3907700C
4001551|P0702900B
4001552|P3907800A
4001553|P3907900I
4001554|P0703400B
4001555|P3909000F
4001556|P4000100J
4001557|P0704500H
4001558|P4000400D
4001559|P0704800B
4001560|P4003100G
4001561|P4003500H
4001562|P0705000H
4001563|P4003600F
4001564|P0705300B
4001565|P4003700D
4001566|P4004000H
4001567|P0706100E
4001568|P4004300B
4001569|P0900604J
4001570|P4004400J
4001571|P4004500G
4001572|P0900732I
4001573|P4004700C
4001574|P4006100D
4001575|P0901800C
4001576|P4006500E
4001577|P0905000F
4001578|P4006600C
4001579|P4007200A
4001580|P0905800I
4001581|P4007500D
4001582|P0907500C
4001583|P4008100B
4001584|P4008400F
4001585|P0908700H
4001586|P4008700I
4001587|P4008800G
4001588|P0919700E
4001589|P4009200I
4001590|P0924800F
4001591|P4009600J
4001592|P4010000J
4001593|P0928200E
4001594|P4010200F
4001595|P0934300E
4001596|P4010300D
4001597|P4010900A
4001598|P0935000J
4001599|P4011500H
4001600|P4011600F
4001601|P0938500F
4001602|P4011900J
4001603|P0939600C
4001604|P4012000H
4001605|P4012300B
4001606|P0942400C
4001607|P4012800A
4001608|P0944700D
4001609|P4013000G
4001610|P4013900H
4001611|P0947300J
4001612|P4015400G
4001613|P0948900F
4001614|P4015700J
4001615|P4016200J
4001616|P1000800A
4001617|P4016300H
4001618|P4017600J
4001619|P1001200C
4001620|P4017800F
4001621|P1001400I
4001622|P4018200H
4001623|P4019600H
4001624|P1003800H
4001625|P4020000H
4001626|P1004800G
4001627|P4020300B
4001628|P4020400J
4001629|P1006500A
4001630|P4021000G
4001631|P4021100E
4001632|P1006800E
4001633|P4021200C
4001634|P1007700F
4001635|P4021300A
4001636|P4021500F
4001637|P1012800G
4001638|P4021700B
4001639|P1013400E
4001640|P4022100D
4001641|P4022300J
4001642|P1015000A
4001643|P4022600C
4001644|P1019500F
4001645|P4023800H
4001646|P4024000D
4001647|P1020700I
4001648|P4024200J
4001649|P1020900E
4001650|P4025300G
4001651|P4025600J
4001652|P1100100E
4001653|P4025800F
4001654|P4026000B
4001655|P1100600D
4001656|P4026100J
4001657|P1100700B
4001658|P4026300F
4001659|P4026800E
4001660|P1100800J
4001661|P4100400C
4001662|P1101100D
4001663|P4100500J
4001664|P4100600H
4001665|P1101200B
4001666|P4100700F
4001667|P1101400H
4001668|P4100900B
4001669|P4101000J
4001670|P1101500E
4001671|P4101200F
4001672|P1101600C
4001673|P4101300D
4001674|P4101500I
4001675|P1101700A
4001676|P4101600G
4001677|P1101900G
4001678|P4101700E
4001679|P4607600F
4001680|P4101800C
4001681|P4607800B
4001682|P1102200A
4001683|P4607900J
4001684|P4101900A
4001685|P4608100F
4001686|P4102000I
4001687|P1102300I
4001688|P4608200D
4001689|P4102100G
4001690|P4608300B
4001691|P1102500D
4001692|P4102200E
4001693|P4608400J
4001694|P4102300C
4001695|P1102600B
4001696|P4608500G
4001697|P4102400A
4001698|P4608700C
4001699|P1102800H
4001700|P4609000G
4001701|P4102500H
4001702|P4609100E
4001703|P4102600F
4001704|P1102900F
4001705|P4609200C
4001706|P4102700D
4001707|P4609300A
4001708|P1103000D
4001709|P4102900J
4001710|P4609400I
4001711|P4103000H
4001712|P1103100B
4001713|P4609600D
4001714|P4103200D
4001715|P4609700B
4001716|P1103300H
4001717|P4609800J
4001718|P4103300B
4001719|P4610000D
4001720|P4103400J
4001721|P1103500C
4001722|P4610100B
4001723|P4103800A
4001724|P4610200J
4001725|P1103700I
4001726|P4103900I
4001727|P4610300H
4001728|P4104000G
4001729|P1103800G
4001730|P4610400F
4001731|P4104200C
4001732|P4610500C
4001733|P1104100A
4001734|P4104400I
4001735|P4610600A
4001736|P4610800G
4001737|P4104500F
4001738|P1200200B
4001739|P4610900E
4001740|P4104700B
4001741|P1200300J
4001742|P4611000C
4001743|P4104900H
4001744|P4611100A
4001745|P4105000F
4001746|P1200400H
4001747|P4611200I
4001748|P4105100D
4001749|P4611300G
4001750|P1200500E
4001751|P4105200B
4001752|P4611400E
4001753|P4105300J
4001754|P4611500B
4001755|P1200600C
4001756|P4105800I
4001757|P4611800F
4001758|P1201200A
4001759|P4105900G
4001760|P4612000B
4001761|P4612100J
4001762|P4106000E
4001763|P1201500D
4001764|P4612200H
4001765|P4106300I
4001766|P4612400D
4001767|P1201600B
4001768|P4106400G
4001769|P4612500A
4001770|P4106500D
4001771|P1201700J
4001772|P4612700G
4001773|P4106700J
4001774|P4612800E
4001775|P1202100B
4001776|P4106800H
4001777|P4612900C
4001778|P4106900F
4001779|P4613000A
4001780|P1202200J
4001781|P4613100I
4001782|P4107000D
4001783|P4613200G
4001784|P1202700I
4001785|P4107500C
4001786|P4613300E
4001787|P4108100A
4001788|P1202900E
4001789|P4613400C
4001790|P4108200I
4001791|P4613500J
4001792|P1203100A
4001793|P4108500B
4001794|P4613600H
4001795|P4108600J
4001796|P4613700F
4001797|P1203200I
4001798|P4108700H
4001799|P4613800D
4001800|P1203300G
4001801|P4109000B
4001802|P4613900B
4001803|P4614000J
4001804|P4109100J
4001805|P1203400E
4001806|P4614100H
4001807|P4109200H
4001808|P4614200F
4001809|P1203600J
4001810|P4109300F
4001811|P4614300D
4001812|P4109400D
4001813|P1203900D
4001814|P4614400B
4001815|P4109500A
4001816|P4614600G
4001817|P1204100J
4001818|P4109600I
4001819|P4614800C
4001820|P4109700G
4001821|P4615000I
4001822|P1204200H
4001823|P4109800E
4001824|P4615100G
4001825|P1204300F
4001826|P4615200E
4001827|P4109900C
4001828|P4615300C
4001829|P4110000I
4001830|P1204400D
4001831|P4615500H
4001832|P4110300C
4001833|P4615600F
4001834|P1204900C
4001835|P4203900H
4001836|P4615700D
4001837|P4215100A
4001838|P1205000A
4001839|P4615800B
4001840|P4221900F
4001841|P4615900J
4001842|P1205200G
4001843|P4227700D
4001844|P4616000H
4001845|P4616100F
4001846|P4600025C
4001847|P1205300E
4001848|P4616200D
4001849|P4600027I
4001850|P1205700F
4001851|P4616300B
4001852|P4600100D
4001853|P4616400J
4001854|P4600200B
4001855|P1206000J
4001856|P4616500G
4001857|P4600300J
4001858|P4616600E
4001859|P1206100H
4001860|P4600400H
4001861|P4616700C
4001862|P1206500I
4001863|P4600500E
4001864|P4616800A
4001865|P4600600C
4001866|P4617000G
4001867|P1206600G
4001868|P4617100E
4001869|P4600700A
4001870|P4617200C
4001871|P1206700E
4001872|P4600800I
4001873|P4617300A
4001874|P4600900G
4001875|P1207000I
4001876|P4617400I
4001877|P4601000E
4001878|P4617500F
4001879|P1207100G
4001880|P4601100C
4001881|P4617600D
4001882|P4601300I
4001883|P1207200E
4001884|P4617700B
4001885|P4601400G
4001886|P4617800J
4001887|P1207400A
4001888|P4601500D
4001889|P4617900H
4001890|P4601600B
4001891|P4618000F
4001892|P1207800B
4001893|P4618200B
4001894|P4601800H
4001895|P1207900J
4001896|P4618300J
4001897|P4601900F
4001898|P4618400H
4001899|P1208000H
4001900|P4602000D
4001901|P4618600C
4001902|P4602100B
4001903|P1208100F
4001904|P4618700A
4001905|P4602200J
4001906|P4618800I
4001907|P1208200D
4001908|P4602300H
4001909|P4618900G
4001910|P4602400F
4001911|P4619000E
4001912|P1208400J
4001913|P4602500C
4001914|P4619100C
4001915|P1209400I
4001916|P4602600A
4001917|P4619300I
4001918|P4619400G
4001919|P4602700I
4001920|P1209500F
4001921|P4619500D
4001922|P4602800G
4001923|P4619700J
4001924|P1209600D
4001925|P4603000C
4001926|P4619900F
4001927|P4603100A
4001928|P1209900H
4001929|P4620000B
4001930|P4603200I
4001931|P4620100J
4001932|P1210000D
4001933|P4603300G
4001934|P4620200H
4001935|P4620400D
4001936|P4603400E
4001937|P1210100B
4001938|P4620500A
4001939|P4603500B
4001940|P1210200J
4001941|P4620600I
4001942|P4603700H
4001943|P4621000A
4001944|P4603800F
4001945|P1210400F
4001946|P4621100I
4001947|P4603900D
4001948|P4621200G
4001949|P1210600A
4001950|P4604000B
4001951|P4621300E
4001952|P4604200H
4001953|P1210700I
4001954|P4621500J
4001955|P4604300F
4001956|P4621600H
4001957|P1210800G
4001958|P4604400D
4001959|P4621700F
4001960|P1210900E
4001961|P1211000C
4001962|P1211100A
4001963|P1211400E
4001964|P1211700H
4001965|P1212100J
4001966|P1802000H
4001967|P1212400D
4001968|P1802100F
4001969|P1212500A
4001970|P1802300B
4001971|P1212600I
4001972|P1802400J
4001973|P1212800E
4001974|P1803000G
4001975|P1212900C
4001976|P1803900H
4001977|P1213300E
4001978|P1804000F
4001979|P1213500J
4001980|P1804800I
4001981|P1213600H
4001982|P1804900G
4001983|P1805000E
4001984|P1400700I
4001985|P1805100C
4001986|P1401700H
4001987|P1805200A
4001988|P1402200H
4001989|P1805700J
4001990|P1403500J
4001991|P1805800H
4001992|P1403700F
4001993|P1806000D
4001994|P1403800D
4001995|P1806200J
4001996|P1404200F
4001997|P1806400F
4001998|P1404300D
4001999|P1806800G
4002000|P1405100G
4002001|P1807000C
4002002|P1405200E
4002003|P1807300G
4002004|P1405500H
4002005|P1807400E
4002006|P1405600F
4002007|P1808100J
4002008|P1405800B
4002009|P1808300F
4002010|P1500200I
4002011|P1500500B
4002012|P1808600I
4002013|P1500700H
4002014|P1809000A
4002015|P1809100I
4002016|P1500800F
4002017|P4604500A
4002018|P1809200G
4002019|P1501300F
4002020|P4604600I
4002021|P1809500J
4002022|P1501400D
4002023|P4604700G
4002024|P1809600H
4002025|P1501700G
4002026|P4604800E
4002027|P1809800D
4002028|P1501900C
4002029|P4604900C
4002030|P1809900B
4002031|P1503000J
4002032|P4605100I
4002033|P1810200D
4002034|P1503100H
4002035|P4605200G
4002036|P1810300B
4002037|P1503200F
4002038|P4605500J
4002039|S3333001J
4002040|P1503300D
4002041|P1503700E
4002042|P1504300C
4002043|P1505400J
4002044|P1505500G
4002045|P1505900I
4002046|P1506200C
4002047|P1506300A
4002048|P1506800J
4002049|P1810400J
4002050|P1507900G
4002051|P1508300I
4002052|P1810500G
4002053|P1508900F
4002054|P1810600E
4002055|P1620400J
4002056|P1810700C
4002057|P1800300D
4002058|P1811100E
4002059|P1800400B
4002060|P1811300A
4002061|P1800700E
4002062|P1811400I
4002063|P1801200E
4002064|P1811700B
4002065|P1801400A
4002066|P1812000F
4002067|P1801500H
4002068|P1812300J
4002069|P1801800B
4002070|P1812700A
4002071|P1812800I
4002072|P1813000E
4002073|P1813300I
4002074|P1813500D
4002075|P1813700J
4002076|P1813800H
4002077|P1813900F
4002078|P1814000D
4002079|P1814200J
4002080|P1814600A
4002081|P1815200I
4002082|P1815300G
4002083|P4605600H
4002084|P1815500B
4002085|P4605800D
4002086|P4605900B
4002087|P1815600J
4002088|P4606000J
4002089|P1816100J
4002090|P4606100H
4002091|P1816200H
4002092|P4606200F
4002093|P1816500A
4002094|P4606300D
4002095|P1816700G
4002096|P4606400B
4002097|P1816800E
4002098|P4606600G
4002099|P1817000A
4002100|P4606800C
4002101|P1817300E
4002102|P4606900A
4002103|P1817400C
4002104|P4607200E
4002105|P1817600H
4002106|P4607400A
4002107|P1817700F
4002108|P4607500H
4002109|P1817800D
4002110|P1818600G
4002111|P4621800D
4002112|P1818700E
4002113|P4621900B
4002114|P1818800C
4002115|P4622000J
4002116|P1818900A
4002117|P4622100H
4002118|P1819100G
4002119|P4622500I
4002120|P1819200E
4002121|P4622600G
4002122|P1819800B
4002123|P4622700E
4002124|P2001400G
4002125|P4622800C
4002126|P2002100B
4002127|P4622900A
4002128|P2003100A
4002129|P4623000I
4002130|P2003300G
4002131|P4623100G
4002132|P2004900C
4002133|P4623200E
4002134|P2006000J
4002135|P4623300C
4002136|P2006600G
4002137|P4623400A
4002138|P2006800C
4002139|P4623500H
4002140|P2006900A
4002141|P4623700D
4002142|P2007800B
4002143|P4623800B
4002144|P2008100F
4002145|P4623900J
4002146|P2009400I
4002147|P4624000H
4002148|P2100200A
4002149|P4624100F
4002150|P2100500D
4002151|P4624200D
4002152|P2100600B
4002153|P4624600E
4002154|P2100700J
4002155|P4624700C
4002156|P2101000D
4002157|P4624800A
4002158|P2101300H
4002159|P4624900I
4002160|P2101400F
4002161|P4625000G
4002162|P2101700I
4002163|P4625203G
4002164|P2101900E
4002165|P4625300A
4002166|P2102100A
4002167|P4625600D
4002168|P2104100I
4002169|P4625700B
4002170|P2104200G
4002171|P4625800J
4002172|P2105000J
4002173|P4625900H
4002174|P2105300D
4002175|P4626000F
4002176|P2105500I
4002177|P4626100D
4002178|P2105800C
4002179|P4626200B
4002180|P2106000I
4002181|P4626300J
4002182|P2106200E
4002183|P4626500E
4002184|P2106300C
4002185|P4700700J
4002186|P2106900J
4002187|P4701100B
4002188|P2107900I
4002189|P4702400E
4002190|P2300200I
4002191|P4705100H
4002192|P2300300G
4002193|P4705300D
4002194|P2300500B
4002195|P4707600E
4002196|P2300600J
4002197|P4707700C
4002198|P2300700H
4002199|P4708600D
4002200|P2300900D
4002201|P4709100D
4002202|P2301000B
4002203|P4710500B
4002204|P2301300F
4002205|P4711300F
4002206|P2301700G
4002207|P4711500A
4002208|P2301800E
4002209|P4711700G
4002210|P2302300E
4002211|P4711900C
4002212|P2302400C
4002213|P4712300E
4002214|P2302500J
4002215|P4715600E
4002216|P2302600H
4002217|P4716200C
4002218|P2302800D
4002219|P4717300J
4002220|P2303300D
4002221|P4717400H
4002222|P2303500I
4002223|P4718500D
4002224|P2303800C
4002225|P4718700J
4002226|P2303900A
4002227|P4719400F
4002228|P2304400A
4002229|P4721800C
4002230|P2305200D
4002231|P4723200D
4002232|P2305300B
4002233|P4800200J
4002234|P2305600E
4002235|P4801700H
4002236|P2305800A
4002237|P4802400D
4002238|P2306000G
4002239|P4803400C
4002240|P2306100E
4002241|P4803700F
4002242|P2307100D
4002243|P4804100H
4002244|P2307300J
4002245|P4805300C
4002246|P2307500E
4002247|P4806400J
4002248|P2308000E
4002249|P4809100C
4002250|P2308600B
4002251|P4809500D
4002252|P2308700J
4002253|P4809700J
4002254|P2308800H
4002255|P4810400D
4002256|P2309000D
4002257|P4811000A
4002258|P2309200J
4002259|P4812400B
4002260|P2309400F
4002261|P4911300D
4002262|P2309500C
4002263|P4930500F
4002264|P2309600A
4002265|P5390001E
4002266|P2309700I
4002267|P6103206F
4002268|P2309900E
4002269|P6402101G
4002270|P2401100I
4002271|P7300002H
4002272|P2405800J
4002273|P7990002C
4002274|P2406300J
4002275|S6100007A
4002276|P2409100A
4002277|P2410200F
4002278|P2410700E
4002279|P2411800B
4002280|P2412500G
4002281|P2413700B
4002282|P2414500E
4002283|P2419200G
4002284|P2422600C
4002285|P2701300B
4002286|P2703100D
4002287|P2706100A
4002288|P2900500F
4002289|P2900700B
4002290|P2900800J
4002291|P2901200B
4002292|P2901500E
4002293|P2901700A
4002294|P2902300I
4002295|P2902500D
4002296|P2903200J
4002297|P2903800G
4002298|P2904100A
4002299|P2904200I
4002300|P2904400E
4002301|P2904500B
4002302|P2905400D
4002303|P2905500A
4002304|P2906900B
4002305|P2907000J
4002306|P2907200F
4002307|P2907600G
4002308|P2908000I
4002309|P2908200E
4002310|P2908400A
4002311|P2909100F
4002312|P2909400J
4002313|P2909700C
4002314|P2910300I
4002315|P3000100B
4002316|P3000200J
4002317|P3000300H
4002318|P3000330E
4002319|P3000400F
4002320|P3000500C
4002321|P3000900E
4002322|P3001000C
4002323|P3001100A
4002324|P3001200I
4002325|P3001300G
4002326|P3001400E
4002327|P3001500B
4002328|P3001600J
4002329|P3001700H
4002330|P3001800F
4002331|P3001900D
4002332|P3002000B
4002333|P3002200H
4002334|P3002300F
4002335|P3002400D
4002336|P3002500A
4002337|P3002600I
4002338|P3002700G
4002339|P3002800E
4002340|P3002900C
4002341|P3003200G
4002342|P3003400C
4002343|P3003600H
4002344|P3003700F
4002345|P3003800D
4002346|P3003900B
4002347|P3004100H
4002348|P3004300D
4002349|P3004400B
4002350|P3004500I
4002351|P3018001B
4002352|P3101500A
4002353|P3102900B
4002354|P3116900F
4002355|P3121200D
4002356|P3122700B
4002357|P3190400F
4002358|P3190800G
4002359|P3201000A
4002360|P3203600F
4002361|P3206100D
4002362|P3400400B
4002363|P3402700C
4002364|P3407900D
4002365|P3412000F
4002366|P3412300J
4002367|P3415700H
4002368|P3422500C
4002369|P3500003C
4002370|P3500700D
4002371|P3501400J
4002372|P3501600E
4002373|P3503200B
4002374|P3503300J
4002375|P3600500G
4002376|P3601000G
4002377|P0103500E
4002378|P0928300C
4002379|P2000000F
4002380|Q0875006I
4002381|P2906700F
4002382|P1405400A
4002383|P3138600F
4002384|P2520800J
4002385|P0314100I
4002386|P0606600E
4002387|P0608300J
4002390|P0301800I
4002391|P0307700E
4002395|P3122800J
4002396|P0814200B
4002400|P0906100C
4002401|P0829200E
4002402|P0808700I
4002403|P0806800I
4002404|P0802000J
4002405|P0822100D
4002406|P0817800F
4002410|P0806600C
4002411|P0301600C
4002412|P0912700B
4002413|G46152120
4002414|P2007400A
4002415|P0815400G
4002416|P0830500E
4002417|P7500015H
4002418|P4619200A
4002419|P4905700C
4002420|P2900000G
4002421|P1402100J
4002422|P3000600A
4002423|Q2805800F
4002424|P2105400B
4002425|P1400400F
4002426|P1401300G
4002427|P1406500G
4002429|P1406600E
4002430|P1407100E
4002431|P6100401F
4002435|P0922400G
4002436|P33044001
4002437|P3301100H
4002438|P3603900F
4002481|P0701700G
4002482|P0704900J
4002483|P0705800A
4002484|P2523300H
4002485|P2502500H
4002486|P3402300B
4002487|P2521800I
4002488|P2508300G
4002489|P2505600C
4002490|P2530400G
4002491|P4505800E
4002495|P2300800F
4002496|P2232600C
4002497|P2305500G
4002498|P2300018E
4002502|P4507100H
4002504|P1406400J
4002505|P0203100C
4002506|P0206800E
4002507|P0205300G
4002508|P4625100E
4002509|P1214000J
4002510|P1213200G
4002511|P1212200H
4002512|P1208900I
4002513|P1205900B
4002514|P1201800H
4002515|P0502600J
4002517|P4516300C
4002518|P4514800D
4002519|P4509300B
4002520|P4508700D
4002521|P4625500F
4002522|P4108900D
4002523|P2231500F
4002524|P2225900F
4002525|P5600002I
4002526|P4608600E
4002527|P1814400F
4002528|P1708300G
4002529|P1714700J
4002530|P3604500C
4002531|P1400000D
4002532|P4702200I
4002533|P4719600A
4002534|P1507600C
4002535|P1707800G
4002536|P1716000C
4002537|P1707100B
4002538|P1701800C
4002539|P1711600E
4002540|P1705500E
4002541|P1800005I
4002542|P1810900I
4002543|P1807100A
4002544|P1803800J
4002545|P1802800A
4002546|P1803100E
4002547|P1818300D
4002548|P1810000H
4002549|P1809700F
4002550|P1806500C
4002551|P1808000B
4002552|P1814800G
4002553|P1819700D
4002554|P1813200A
4002555|P1800500I
4002556|P1811800J
4002557|P1803700B
4002558|P1016800C
4002559|P1010700A
4002560|P1506100E
4002561|P1505600E
4002562|P1507400H
4002563|P3422100B
4002564|P4000000B
4002565|P4413200I
4002566|P4425300C
4002567|P4420500C
4002568|P2404000H
4002570|Q9755002D
4002571|P4300080A
1021147|A08800880
1020989|A11293123
1021231|A11950417
1021227|A12377297
1021091|A13171624
1021153|A17068511
1021200|A20214011
1021199|A20498457
1021203|A20864856
1020996|A21143656
1020994|A21188776
1021057|A24475873
1021155|A25505652
1020997|A29658416
1020998|A29898921
1021180|A31118441
1021011|A33068578
1021017|A35310325
1020999|A41092032
1021000|A41453655
1021105|A43240084
1021230|A46708574
1021143|A58217308
1021145|A60622909
1021148|A62439807
1021165|A81086316
1021228|A96157011
1021106|B06215214
1020988|B11504503
1020992|B14582712
1020995|B21368246
1021235|B28655462
1021059|B34228874
1021233|B39357082
1021232|B39370028
1021141|B45552551
1021146|B61169769
1021182|B71099204
1021171|B73636201
1021087|B81376956
1021234|B85422913
1021210|E26044347
1021215|E26073569
1021212|E26128926
1021002|E44005676
1021004|E50060557
1021196|G01109651
1021195|G01109792
1021194|G01113406
1021193|G01347251
1021092|G02246338
1020987|G04484259
1021026|G05012489
1021107|G06410591
1021109|G06418669
1021027|G09415845
1021028|G09426156
1021123|G10043693
1021126|G10065498
1021124|G10135812
1021128|G10141083
1021127|G10142438
1021130|G10149482
1021131|G10153096
1021122|G10159077
1021133|G10166650
1021135|G10211753
1021136|G10275246
1021224|G12230082
1021223|G12234415
1021225|G12312120
1021094|G13275532
1020990|G14215214
1020991|G14216758
1021095|G16025942
1021099|G16037434
1021098|G16100182
1021097|G16101198
1021096|G16106486
1021100|G16108375
1021101|G16111684
1021102|G16132094
1021103|G16165060
1021104|G16231136
1021151|G17363862
1020993|G18399485
1021088|G19029446
1021110|G19029578
1021089|G19030808
1021111|G19032705
1021115|G19035898
1021112|G19037464
1021113|G19037613
1021114|G19037811
1021198|G20079703
1021197|G20096442
1021201|G20320628
1021202|G20392064
1021204|G20487930
1021205|G20621710
1021192|G20960183
1021058|G24351157
1021156|G25259516
1021208|G26105510
1021211|G26116863
1021209|G26215988
1021218|G26243352
1021217|G26253070
1021219|G26296236
1021220|G26339317
1021176|G31094782
1021172|G31110398
1021179|G31182074
1021188|G31201775
1021177|G31216484
1021175|G31222086
1021185|G31266851
1021189|G31422009
1021187|G31516560
1021173|G31520844
1021186|G31548944
1021190|G31576366
1021191|G31579683
1021183|G31878994
1021181|G31898166
1021178|G31936065
1021060|G34026328
1021062|G34037382
1021061|G34037960
1021066|G34153759
1021064|G34162206
1021236|G34166298
1021065|G34174854
1021067|G34205732
1021016|G35425347
1021160|G36179760
1021161|G36213528
1021068|G37021896
1021069|G37285566
1021018|G39330980
1021022|G39338405
1021020|G39348503
1021021|G39499926
1021086|G40154593
1021029|G42165753
1021003|G44104115
1021226|G44507192
1021117|G45029824
1021118|G45211117
1021119|G45218872
1021140|G45422805
1021142|G45552072
1021071|G47574215
1021072|G49025042
1021074|G49102197
1021075|G49103070
1021078|G49128986
1021076|G49129463
1021079|G49130164
1021077|G49130214
1021080|G49135387
1021081|G49140098
1021083|G49142698
1021082|G49143522
1021084|G49208929
1021005|G50218106
1021006|G50304278
1021010|G50683234
1021222|G53508313
1021149|G60388824
1021144|G62977400
1021013|G74035981
1021012|G74071556
1021166|G78850021
1021164|G78922960
1021167|G79458618
1021170|G82946872
1021229|G96329891
1021169|H82272675
4008566|P0100000I
4008567|P0100200E
4008565|P0100256G
4008571|P0100389F
4008568|P0100400A
4008570|P0100500H
4008572|P0100700D
4008574|P0100900J
4008575|P0101000H
4008576|P0101100F
4008577|P0101200D
4008578|P0101400J
4008579|P0101500G
4008580|P0101700C
4008582|P0101800A
4008583|P0102000G
4008584|P0102100E
4008585|P0102200C
4008586|P0102300A
4008587|P0102400I
4008588|P0102900H
4008589|P0103000F
4008590|P0103200B
4008591|P0103300J
4008592|P0103600C
4008593|P0103800I
4008594|P0103900G
4008595|P0104200A
4008613|P0104300I
4008596|P0104400G
4008597|P0104500D
4008598|P0104900F
4008599|P0105200J
4008600|P0105500C
4008601|P0105700I
4008602|P0105800G
4008603|P0105900E
4008581|P0106100A
4008604|P0106200I
4008605|P0106300G
4008606|P0106500B
4008607|P0106600J
4008608|P0106700H
4008609|P0106900D
4008610|P0107000B
4008611|P0107100J
4008612|P0107200H
4006256|P0200000H
4006257|P0200001F
4006261|P0200003B
4006262|P0200004J
4006263|P0200005G
4006259|P0200007C
4006266|P0200008A
4006265|P0200009I
4006308|P0200010G
4006274|P0200011E
4006258|P0200200D
4006260|P0200400J
4006264|P0200700C
4006268|P0201100E
4006270|P0201300A
4006271|P0201400I
4006273|P0201600D
4006275|P0201700B
4006276|P0201800J
4006277|P0202000F
4006278|P0202100D
4006279|P0202300J
4006280|P0202400H
4006281|P0202600C
4006282|P0202700A
4006283|P0202800I
4006284|P0203600B
4006285|P0203800H
4006286|P0203900F
4006287|P0204100B
4006288|P0204300H
4006289|P0204400F
4006290|P0204600A
4006291|P0204700I
4006292|P0205000C
4006293|P0205100A
4006294|P0205500B
4006295|P0205800F
4006296|P0205900D
4006297|P0206100J
4006298|P0206200H
4006299|P0206500A
4006300|P0206600I
4006301|P0207000A
4006302|P0207600H
4006303|P0207700F
4006304|P0208200F
4006305|P0208300D
4006306|P0208400B
4006307|P0208500I
4008947|P0300006D
4008950|P0300011D
4008952|P0300014H
4008954|P0300017A
4008957|P0300033H
4008953|P0300042I
4008960|P0300052H
4008962|P0300058E
4008964|P0300060A
4008965|P0300075I
4008966|P0300079A
4008968|P0300083C
4008949|P0300300A
5000072|P0300900H
4008951|P0301000F
4008955|P0302000E
4008956|P0302200A
4008961|P0302700J
4008963|P0302800H
4008967|P0303200J
4008969|P0303300H
4008970|P0303600A
4008971|P0303800G
4008972|P0303900E
4008973|P0305100J
4008974|P0305700G
4008975|P0306000A
4008976|P0306700F
4008977|P0306800D
4008978|P0307200F
4008979|P0307300D
4008980|P0307500I
4008981|P0308400A
4008982|P0310600B
5000007|P0311000D
4008983|P0313000B
